Condition,Emotion,Subject,Recall_with_false,Recall,Group
Think,Disgust,01MMI,100.0,100.0,1
No-Think,Disgust,01MMI,33.33333333333333,33.33333333333333,1
Baseline,Disgust,01MMI,50.0,50.0,1
Think,Sadness,01MMI,83.33333333333334,83.33333333333334,1
No-Think,Sadness,01MMI,66.66666666666666,66.66666666666666,1
Baseline,Sadness,01MMI,83.33333333333334,83.33333333333334,1
Think,Neutral,01MMI,100.0,100.0,1
No-Think,Neutral,01MMI,75.0,75.0,1
Baseline,Neutral,01MMI,100.0,100.0,1
Think,Disgust,02FAU,50.0,50.0,1
No-Think,Disgust,02FAU,50.0,50.0,1
Baseline,Disgust,02FAU,66.66666666666666,66.66666666666666,1
Think,Sadness,02FAU,100.0,100.0,1
No-Think,Sadness,02FAU,66.66666666666666,66.66666666666666,1
Baseline,Sadness,02FAU,100.0,100.0,1
Think,Neutral,02FAU,83.33333333333334,83.33333333333334,1
No-Think,Neutral,02FAU,75.0,75.0,1
Baseline,Neutral,02FAU,91.66666666666666,91.66666666666666,1
Think,Disgust,03RVO,83.33333333333334,66.66666666666666,1
No-Think,Disgust,03RVO,33.33333333333333,33.33333333333333,1
Baseline,Disgust,03RVO,83.33333333333334,83.33333333333334,1
Think,Sadness,03RVO,100.0,100.0,1
No-Think,Sadness,03RVO,100.0,100.0,1
Baseline,Sadness,03RVO,100.0,100.0,1
Think,Neutral,03RVO,100.0,91.66666666666666,1
No-Think,Neutral,03RVO,100.0,100.0,1
Baseline,Neutral,03RVO,83.33333333333334,83.33333333333334,1
Think,Disgust,04PLA,100.0,100.0,1
No-Think,Disgust,04PLA,83.33333333333334,83.33333333333334,1
Baseline,Disgust,04PLA,66.66666666666666,66.66666666666666,1
Think,Sadness,04PLA,100.0,100.0,1
No-Think,Sadness,04PLA,100.0,100.0,1
Baseline,Sadness,04PLA,100.0,100.0,1
Think,Neutral,04PLA,83.33333333333334,83.33333333333334,1
No-Think,Neutral,04PLA,100.0,100.0,1
Baseline,Neutral,04PLA,91.66666666666666,91.66666666666666,1
Think,Disgust,05PPI,100.0,100.0,1
No-Think,Disgust,05PPI,100.0,100.0,1
Baseline,Disgust,05PPI,83.33333333333334,83.33333333333334,1
Think,Sadness,05PPI,100.0,100.0,1
No-Think,Sadness,05PPI,83.33333333333334,83.33333333333334,1
Baseline,Sadness,05PPI,83.33333333333334,83.33333333333334,1
Think,Neutral,05PPI,90.9090909090909,90.9090909090909,1
No-Think,Neutral,05PPI,91.66666666666666,91.66666666666666,1
Baseline,Neutral,05PPI,100.0,100.0,1
Think,Disgust,06DJO,100.0,100.0,1
No-Think,Disgust,06DJO,100.0,100.0,1
Baseline,Disgust,06DJO,100.0,100.0,1
Think,Sadness,06DJO,100.0,100.0,1
No-Think,Sadness,06DJO,100.0,100.0,1
Baseline,Sadness,06DJO,100.0,100.0,1
Think,Neutral,06DJO,100.0,100.0,1
No-Think,Neutral,06DJO,100.0,100.0,1
Baseline,Neutral,06DJO,100.0,100.0,1
Think,Disgust,07CLO,100.0,100.0,1
No-Think,Disgust,07CLO,100.0,100.0,1
Baseline,Disgust,07CLO,83.33333333333334,83.33333333333334,1
Think,Sadness,07CLO,100.0,100.0,1
No-Think,Sadness,07CLO,100.0,100.0,1
Baseline,Sadness,07CLO,83.33333333333334,83.33333333333334,1
Think,Neutral,07CLO,100.0,100.0,1
No-Think,Neutral,07CLO,91.66666666666666,91.66666666666666,1
Baseline,Neutral,07CLO,91.66666666666666,91.66666666666666,1
Think,Disgust,08LAN,100.0,100.0,1
No-Think,Disgust,08LAN,100.0,100.0,1
Baseline,Disgust,08LAN,100.0,100.0,1
Think,Sadness,08LAN,100.0,100.0,1
No-Think,Sadness,08LAN,100.0,100.0,1
Baseline,Sadness,08LAN,100.0,100.0,1
Think,Neutral,08LAN,100.0,100.0,1
No-Think,Neutral,08LAN,100.0,100.0,1
Baseline,Neutral,08LAN,100.0,100.0,1
Think,Disgust,09SMA,100.0,100.0,1
No-Think,Disgust,09SMA,100.0,100.0,1
Baseline,Disgust,09SMA,100.0,100.0,1
Think,Sadness,09SMA,100.0,100.0,1
No-Think,Sadness,09SMA,100.0,100.0,1
Baseline,Sadness,09SMA,100.0,100.0,1
Think,Neutral,09SMA,100.0,100.0,1
No-Think,Neutral,09SMA,100.0,100.0,1
Baseline,Neutral,09SMA,100.0,100.0,1
Think,Disgust,10LSA,100.0,100.0,1
No-Think,Disgust,10LSA,83.33333333333334,83.33333333333334,1
Baseline,Disgust,10LSA,83.33333333333334,83.33333333333334,1
Think,Sadness,10LSA,100.0,100.0,1
No-Think,Sadness,10LSA,100.0,100.0,1
Baseline,Sadness,10LSA,100.0,100.0,1
Think,Neutral,10LSA,100.0,100.0,1
No-Think,Neutral,10LSA,100.0,100.0,1
Baseline,Neutral,10LSA,100.0,100.0,1
Think,Disgust,11EMA,83.33333333333334,83.33333333333334,1
No-Think,Disgust,11EMA,100.0,100.0,1
Baseline,Disgust,11EMA,100.0,100.0,1
Think,Sadness,11EMA,100.0,100.0,1
No-Think,Sadness,11EMA,100.0,100.0,1
Baseline,Sadness,11EMA,83.33333333333334,83.33333333333334,1
Think,Neutral,11EMA,100.0,100.0,1
No-Think,Neutral,11EMA,91.66666666666666,91.66666666666666,1
Baseline,Neutral,11EMA,100.0,100.0,1
Think,Disgust,12JMA,100.0,100.0,1
No-Think,Disgust,12JMA,100.0,100.0,1
Baseline,Disgust,12JMA,100.0,100.0,1
Think,Sadness,12JMA,100.0,100.0,1
No-Think,Sadness,12JMA,100.0,100.0,1
Baseline,Sadness,12JMA,100.0,100.0,1
Think,Neutral,12JMA,100.0,100.0,1
No-Think,Neutral,12JMA,100.0,100.0,1
Baseline,Neutral,12JMA,100.0,100.0,1
Think,Disgust,13GNI,100.0,66.66666666666666,1
No-Think,Disgust,13GNI,83.33333333333334,83.33333333333334,1
Baseline,Disgust,13GNI,100.0,100.0,1
Think,Sadness,13GNI,100.0,100.0,1
No-Think,Sadness,13GNI,83.33333333333334,83.33333333333334,1
Baseline,Sadness,13GNI,100.0,100.0,1
Think,Neutral,13GNI,100.0,100.0,1
No-Think,Neutral,13GNI,83.33333333333334,83.33333333333334,1
Baseline,Neutral,13GNI,100.0,100.0,1
Think,Disgust,14GFA,100.0,100.0,1
