Condition;Emotion;Subject;RT;Valence;Session;Group
Think;Neutral;01MMI;5.873333333333332;5.555555555555555;1;1
No-Think;Neutral;01MMI;5.634999999999999;5.583333333333333;1;1
Baseline;Neutral;01MMI;6.204545454545454;7.0;1;1
Think;Disgust;01MMI;6.264;3.2;1;1
No-Think;Disgust;01MMI;6.661666666666666;3.1666666666666665;1;1
Baseline;Disgust;01MMI;5.859999999999999;2.5;1;1
Think;Sadness;01MMI;6.528333333333333;3.5;1;1
No-Think;Sadness;01MMI;6.565;3.8333333333333335;1;1
Baseline;Sadness;01MMI;5.795;3.0;1;1
Think;Neutral;02FAU;6.506666666666666;5.666666666666667;1;1
No-Think;Neutral;02FAU;7.201666666666667;6.25;1;1
Baseline;Neutral;02FAU;6.4508333333333345;5.166666666666667;1;1
Think;Disgust;02FAU;6.66;2.3333333333333335;1;1
No-Think;Disgust;02FAU;6.715;2.75;1;1
Baseline;Disgust;02FAU;6.304;3.6;1;1
Think;Sadness;02FAU;7.372;3.6;1;1
No-Think;Sadness;02FAU;6.4319999999999995;2.6;1;1
Baseline;Sadness;02FAU;6.743333333333333;2.8333333333333335;1;1
Think;Neutral;03RVO;6.36090909090909;7.545454545454546;1;1
No-Think;Neutral;03RVO;5.864166666666667;6.166666666666667;1;1
Baseline;Neutral;03RVO;6.341666666666666;5.5;1;1
Think;Disgust;03RVO;6.664999999999999;1.25;1;1
No-Think;Disgust;03RVO;6.75;2.2;1;1
Baseline;Disgust;03RVO;8.004000000000001;2.6;1;1
Think;Sadness;03RVO;7.213333333333334;1.6666666666666667;1;1
No-Think;Sadness;03RVO;7.538333333333333;2.0;1;1
Baseline;Sadness;03RVO;8.066666666666666;2.3333333333333335;1;1
Think;Neutral;04PLA;5.93;4.0;1;1
No-Think;Neutral;04PLA;5.588571428571429;5.857142857142857;1;1
Baseline;Neutral;04PLA;5.711;5.0;1;1
Think;Disgust;04PLA;6.101666666666667;3.0;1;1
No-Think;Disgust;04PLA;5.968333333333334;1.3333333333333333;1;1
Baseline;Disgust;04PLA;5.8420000000000005;3.0;1;1
Think;Sadness;04PLA;5.785;2.75;1;1
No-Think;Sadness;04PLA;5.54;2.4;1;1
Baseline;Sadness;04PLA;5.881666666666667;2.6666666666666665;1;1
Think;Neutral;05PPI;7.990999999999998;5.3;1;1
No-Think;Neutral;05PPI;7.490000000000001;4.333333333333333;1;1
Baseline;Neutral;05PPI;7.525454545454547;4.363636363636363;1;1
Think;Disgust;05PPI;6.171666666666666;1.3333333333333333;1;1
No-Think;Disgust;05PPI;6.197500000000001;2.25;1;1
